,energy,impact,latitude,longitude,altitude,velocity,vx,vy,vz
246,160.0,3.5,56.6,69.8,40.0,15.4,-2.4,-1.9,-15.1
247,3.5,0.12,68.9,102.0,21.1,24.1,-13.4,18.0,8.8
248,14.6,0.42,57.9,146.1,34.8,23.7,21.5,10.0,0.4
249,14.2,0.41,53.1,109.9,28.2,12.9,3.9,-4.1,-11.6
250,2.5,0.089,29.4,75.9,35.2,22.4,-4.0,-15.2,-16.0
251,4.6,0.15,32.8,165.6,29.6,11.3,9.6,5.8,1.5
252,39.5,1.0,20.9,31.4,38.9,13.3,-9.0,9.0,3.8
253,4.1,0.14,18.5,180.0,45.4,13.8,6.5,-12.1,1.7
254,12.1,0.36,38.6,68.0,31.5,14.5,-7.7,-8.2,-9.1
255,6.6,0.21,72.8,147.3,52.2,21.7,-12.9,1.9,-17.4
256,3.6,0.12,37.1,115.7,36.1,9.8,2.8,1.7,-9.2
257,17.2,0.49,26.9,17.7,33.7,23.1,-17.9,13.0,6.6
258,15.0,0.43,0.8,162.0,37.0,14.2,7.9,3.1,11.4
259,5.0,0.16,28.0,41.5,26.7,12.9,-4.1,4.8,-11.2
260,11.0,0.33,74.9,73.4,40.4,13.9,-5.8,-10.7,-6.7
261,4.1,0.14,66.8,67.3,31.5,11.6,4.3,5.7,9.1
262,3.3,0.11,88.5,116.6,37.0,18.4,-4.5,-14.1,-10.9
263,23.7,0.65,49.2,85.5,30.2,16.9,-9.2,13.6,3.8
264,4.9,0.16,23.4,170.9,35.2,17.0,16.7,-2.1,-2.2
265,11.2,0.33,83.7,171.2,38.0,24.4,-5.3,-2.5,23.7
266,4.0,0.13,7.1,4.1,32.5,14.5,-7.3,-1.9,-12.4
267,7.6,0.24,45.4,53.5,32.0,13.4,-3.3,-12.8,-1.9
268,741.0,14.0,26.2,26.0,26.5,15.9,4.9,-15.0,1.6
269,25.8,0.7,49.4,175.0,44.4,23.9,4.9,23.4,-1.0
270,123.0,2.8,14.0,109.1,44.1,14.2,10.0,-9.9,1.5
271,8.5,0.26,78.3,5.0,29.6,12.4,0.1,2.0,12.2
272,16.3,0.47,31.1,45.6,38.9,30.2,9.2,-1.2,-28.7
273,5.9,0.19,69.2,22.5,40.7,19.6,6.1,4.6,-18.0
274,10.0,0.3,36.9,143.6,38.9,19.8,-8.8,3.4,-17.4
275,74.0,1.8,51.7,56.4,37.0,18.7,8.4,-16.4,3.2
276,2.8,0.098,29.8,12.7,32.4,16.9,-9.9,-6.3,-12.2
277,19.0,0.53,3.0,154.9,42.2,20.7,18.6,8.5,3.2
278,8.8,0.27,33.8,117.4,32.2,17.0,-12.1,-9.6,7.2
279,7.3,0.23,31.0,145.9,30.7,13.8,13.5,-2.7,-0.7
280,2.5,0.089,21.5,56.2,37.0,16.9,-16.3,4.3,1.4
281,8.2,0.25,31.0,90.3,29.6,26.2,-1.5,25.3,6.7
282,2.6,0.092,75.8,163.7,15.2,16.6,9.6,-9.7,9.4
283,23.2,0.64,50.2,146.4,38.5,16.8,9.3,13.8,2.5
284,11.9,0.35,21.3,154.7,35.2,21.5,20.2,-3.3,6.6
285,1037.0,18.0,27.3,71.5,35.0,19.2,-15.3,1.0,11.6
286,181.0,3.9,1.3,174.4,43.0,19.5,9.4,17.0,-1.5
287,62.4,1.5,44.3,83.3,29.6,16.3,8.5,-12.1,-6.8
288,43.3,1.1,12.0,162.8,35.0,25.6,10.5,-23.2,-2.9
289,51.8,1.3,64.5,136.2,23.0,20.1,14.8,-8.7,10.4
290,215.0,4.6,21.0,86.6,26.0,18.2,-1.0,-5.4,-17.3
291,7.4,0.23,35.1,33.4,30.0,17.1,6.0,-10.6,12.0
